0,Doc,02_25_06_2021_02_07,50,200,13
0.93225,0.17525,-0.43875,0.947,0.14525,-0.2675
0.9275001,0.16975,-0.42125,0.9472501,0.12425,-0.282
0.91675,0.1625,-0.406,0.9472501,0.12425,-0.282
0.9255,0.17125,-0.427,0.9635,0.11,-0.29625
0.93125,0.18075,-0.44,0.9587501,0.1,-0.3015
0.918,0.205,-0.4585,0.9572501,0.0935,-0.307
0.9110001,0.2215,-0.467,0.9597501,0.0925,-0.30725
0.91175,0.21725,-0.4845,0.9597501,0.0925,-0.30725
0.9085,0.20125,-0.4535,0.9565001,0.108,-0.29925
0.90975,0.19275,-0.44725,0.9637501,0.1175,-0.29725
0.9215,0.1825,-0.451,0.974,0.14475,-0.2975
0.9310001,0.1545,-0.44675,0.9635,0.143,-0.24775
0.9227501,0.1495,-0.43425,0.9635,0.143,-0.24775
0.9162501,0.152,-0.4335,0.96575,0.15225,-0.25325
0.9305,0.164,-0.4545,0.9665,0.16175,-0.254
0.9252501,0.17225,-0.45925,0.9562501,0.15725,-0.2725
0.91725,0.1845,-0.458,0.94425,0.14,-0.2785
0.91475,0.202,-0.45325,0.94625,0.09375001,-0.32275
0.9145001,0.203,-0.4565,0.95575,0.0745,-0.32925
0.9165,0.19975,-0.45975,0.9687501,0.07825001,-0.355
0.92,0.19775,-0.46375,0.9685,0.06325001,-0.337
0.918,0.178,-0.46525,0.929,0.0565,-0.312
0.932,0.169,-0.46875,0.9332501,0.052,-0.33725
0.9285001,0.165,-0.464,0.9400001,0.0575,-0.3565
0.9102501,0.165,-0.44925,0.9400001,0.0575,-0.3565
0.9115,0.16975,-0.45575,0.9495,0.07825001,-0.376
0.9135001,0.1835,-0.464,0.95125,0.059,-0.378
0.91825,0.18025,-0.46825,0.94525,0.053,-0.35925
0.92375,0.1775,-0.4665,0.9202501,0.05875,-0.3415
0.9185001,0.1755,-0.46675,0.9255,0.05675,-0.3525
0.91325,0.1785,-0.4625,0.933,0.051,-0.35675
0.9145001,0.17925,-0.45875,0.9440001,0.08050001,-0.3825
0.913,0.17725,-0.45675,0.9425001,0.08275001,-0.38775
0.92,0.17275,-0.466,0.936,0.08575001,-0.37125
0.9260001,0.166,-0.472,0.9335001,0.096,-0.368
0.92,0.16375,-0.46325,0.9342501,0.108,-0.357
0.9137501,0.16325,-0.458,0.93975,0.11325,-0.355
0.918,0.164,-0.46575,0.9450001,0.11475,-0.348
0.92,0.169,-0.468,0.94125,0.1,-0.35275
0.9175,0.17075,-0.46825,0.93725,0.09775001,-0.356
0.9160001,0.16775,-0.4715,0.9325001,0.08675,-0.35475
0.9145001,0.16625,-0.472,0.92875,0.07925,-0.3595
0.9192501,0.15475,-0.47475,0.936,0.07600001,-0.381
0.9235001,0.1465,-0.47325,0.93875,0.0785,-0.38125
0.9195001,0.14675,-0.46425,0.9440001,0.09150001,-0.38275
0.9137501,0.16125,-0.46,0.937,0.09625001,-0.3655
0.92,0.166,-0.46725,0.9307501,0.09625001,-0.35375
0.9145001,0.1815,-0.47225,0.9350001,0.09450001,-0.3555
0.9145001,0.18875,-0.46925,0.9367501,0.09425,-0.3645
0.91075,0.193,-0.465,0.9392501,0.09550001,-0.3755
0.914,0.1805,-0.4705,0.9355,0.10375,-0.38275
0.91475,0.17475,-0.4715,0.93225,0.1025,-0.3755
0.9152501,0.17025,-0.46325,0.932,0.09975,-0.37075
0.913,0.16225,-0.461,0.9332501,0.10125,-0.36575
0.9185001,0.15225,-0.46725,0.9332501,0.10125,-0.36575
0.91975,0.1555,-0.47,0.9395,0.10175,-0.36175
0.91475,0.17225,-0.47075,0.9390001,0.09275001,-0.35725
0.9160001,0.17925,-0.46775,0.9382501,0.08775,-0.35675
0.9127501,0.18275,-0.468,0.9355,0.09450001,-0.35325
0.9135001,0.1835,-0.46975,0.93475,0.11325,-0.3755
0.913,0.1795,-0.468,0.9385,0.11925,-0.3835
0.91425,0.1695,-0.46975,0.93725,0.12025,-0.37525
0.9162501,0.154,-0.465,0.92975,0.09550001,-0.376
0.91425,0.15325,-0.463,0.94175,0.08875,-0.376
0.91875,0.1545,-0.46425,0.94175,0.08750001,-0.36725
0.9125,0.1685,-0.46225,0.93275,0.097,-0.362
0.91075,0.17425,-0.46175,0.92975,0.105,-0.36725
0.9155,0.1775,-0.46275,0.9317501,0.1095,-0.36725
0.9295,0.1405,-0.49875,0.9325001,0.115,-0.37325
0.9457501,0.10325,-0.5295,0.932,0.11525,-0.3765
0.9450001,0.09150001,-0.5355,0.9350001,0.1105,-0.37225
0.91,0.14875,-0.47275,0.9307501,0.09775001,-0.36975
0.89575,0.1785,-0.43575,0.933,0.08025,-0.3775
0.881,0.2015,-0.411,0.933,0.08025,-0.3775
0.87775,0.199,-0.4185,0.9185001,0.05725,-0.385
0.8985,0.19825,-0.4545,0.89825,0.0325,-0.395
0.9037501,0.194,-0.4705,0.883,0.05325,-0.4185
0.9260001,0.17375,-0.4885,0.92625,0.1695,-0.4195
0.92875,0.165,-0.48875,0.9710001,0.22075,-0.3685
0.90675,0.15975,-0.4965,0.98,0.22475,-0.30475
0.918,0.1625,-0.49225,0.9590001,0.19975,-0.23625
0.92075,0.1645,-0.471,0.93375,0.196,-0.329
0.923,0.16175,-0.439,0.937,0.191,-0.371
0.9160001,0.16225,-0.4385,0.943,0.193,-0.34725
0.92,0.166,-0.4645,0.92725,0.181,-0.36175
0.92,0.166,-0.4645,0.92725,0.181,-0.36175
0.92,0.166,-0.4645,0.92725,0.181,-0.36175
0.90975,0.164,-0.49475,0.92725,0.181,-0.36175
0.9045001,0.112,-0.43025,0.918,0.1475,-0.398
0.9395,0.08425,-0.491,0.9135001,0.06825,-0.43375
0.9255,0.1295,-0.5295,0.9095001,0.05425,-0.407
