0,Alice,14:33:59_2021_02_06,50,200
0.0495,0.09325001,-1.07375,0.12975,-0.02075,-0.98625
0.052,0.114,-1.09625,0.14425,-0.0205,-0.9852501
0.052,0.114,-1.09625,0.1385,-0.0235,-1.00525
0.0615,0.117,-1.101,0.1385,-0.0235,-1.00525
0.0615,0.117,-1.101,0.13325,-0.02775,-1.0005
0.04975,0.09500001,-1.08325,0.13525,-0.02075,-0.99975
0.04975,0.09500001,-1.08325,0.1425,-0.009000001,-1.0145
0.04725,0.11225,-1.1215,0.1425,-0.009000001,-1.0145
0.04725,0.11225,-1.1215,0.145,-0.01025,-0.9852501
0.04875,0.10425,-1.08025,0.145,-0.01025,-0.9852501
0.04325,0.11075,-1.066,0.15425,-0.016,-0.9815
0.045,0.11975,-1.1285,0.1525,-0.00875,-1.0285
0.045,0.11975,-1.1285,0.1525,-0.00875,-1.0285
0.05925,0.09925,-1.1155,0.14225,-0.009000001,-1.03225
0.05925,0.09925,-1.1155,0.14225,-0.009000001,-1.03225
0.075,0.0865,-1.064,0.12975,-0.04525,-0.9662501
0.06575,0.10875,-1.0745,0.12975,-0.04525,-0.9662501
0.0645,0.1225,-1.10775,0.139,-0.03475,-0.987
0.0645,0.1225,-1.10775,0.139,-0.03475,-0.987
0.054,0.1055,-1.09025,0.151,-0.006,-1.0045
0.054,0.1055,-1.09025,0.15025,-0.0115,-0.9850001
0.18925,0.45025,-1.1475,0.15025,-0.0115,-0.9850001
-0.09525,0.0635,-1.47725,0.144,-0.025,-1.043
-0.09525,0.0635,-1.47725,0.144,-0.025,-1.043
-0.09975,-0.28375,-1.23925,0.1315,-0.022,-1.01025
-0.51425,-0.29825,-1.1115,0.1725,0.01375,-1.0135
-0.319,-0.4865,-0.634,0.159,-0.012,-1.021
-0.319,-0.4865,-0.634,0.159,-0.012,-1.021
0.0445,-0.4905,-1.285,0.14875,-0.055,-0.98475
0.0445,-0.4905,-1.285,0.14875,-0.055,-0.98475
0.0445,-0.4905,-1.285,0.14175,0.025,-0.98075
-0.28725,-0.973,-0.929,0.14175,0.025,-0.98075
-0.298,-0.8735,-0.6145,0.16225,0.01675,-0.9620001
-0.298,-0.8735,-0.6145,0.16225,0.01675,-0.9620001
-0.298,-0.8735,-0.6145,0.14925,-0.02375,-1.029
0.23325,0.25275,-0.8107501,0.1375,-0.04025,-1.02
-0.02025,0.68575,-0.44375,0.1555,-0.0035,-0.97
-0.02025,0.68575,-0.44375,0.14325,0.01375,-0.9625
