2,Yufei,21_20_05_2021_02_18,50,300,7
0.47125,-0.19125,0.68625,0.5765,0.293,0.48275
0.422,-0.17325,0.6472501,0.6265,0.333,0.44975
0.41325,-0.1285,0.62725,0.66225,0.40725,0.43725
0.437,-0.06625,0.6085,0.6990001,0.56225,0.53825
0.48775,-0.08475,0.55825,0.72025,0.6350001,0.59025
0.5420001,-0.133,0.5295,0.75025,0.6900001,0.64
0.5420001,-0.133,0.5295,0.75025,0.6900001,0.64
0.5420001,-0.133,0.5295,0.827,0.8282501,0.62075
0.57975,-0.21025,0.52125,0.82525,0.85675,0.64225
0.5935,-0.4205,0.6195,0.785,0.86725,0.63975
0.58325,-0.5005,0.67975,0.7825,0.86125,0.6105
0.6925001,-0.5045,0.7352501,0.7455,0.836,0.5945
0.77075,-0.4835,0.7417501,0.6390001,0.8190001,0.50475
0.83425,-0.456,0.7492501,0.56025,0.80825,0.53475
1.20625,-0.1235,0.5125,0.45075,0.7735,0.54975
1.24625,-0.0735,0.4255,0.4445,0.7180001,0.57175
1.21075,-0.009000001,0.35025,0.4715,0.66275,0.56275
1.15225,0.051,0.269,0.50625,0.631,0.534
1.028,0.181,0.19325,0.55675,0.599,0.506
0.9482501,0.2205,0.20225,0.568,0.5995,0.51675
0.83025,0.23425,0.27825,0.5545,0.592,0.5362501
0.80225,0.2105,0.29675,0.5365,0.564,0.51625
0.79,0.16875,0.32025,0.5365,0.54625,0.5035
0.79,0.16875,0.32025,0.53325,0.5305001,0.49025
0.8372501,0.0815,0.3255,0.5560001,0.5125,0.465
0.86075,0.06275,0.3425,0.54825,0.53425,0.44575
0.9065,0.06525,0.3465,0.5205,0.557,0.4475
0.9522501,0.04225,0.30875,0.4155,0.5515,0.5272501
0.9522501,0.04225,0.30875,0.47925,0.50075,0.52175
0.96975,0.03025,0.24625,0.70625,0.3875,0.42225
0.97325,0.0565,0.22975,0.7920001,0.372,0.44725
0.94925,0.09675001,0.242,0.8835,0.37975,0.48125
0.92875,0.0865,0.2765,0.9842501,0.512,0.47575
0.95425,0.05525,0.26575,1.01625,0.642,0.34725
0.9612501,0.0275,0.2825,1.008,0.77575,0.25975
1.01125,0.00825,0.4015,0.8412501,0.8175001,0.39825
1.05775,0.00725,0.418,0.8412501,0.8175001,0.39825
1.104,-0.026,0.41825,0.8412501,0.8175001,0.39825
1.153,-0.08925001,0.38575,0.80625,0.54675,0.462
1.1815,-0.14025,0.3595,0.89425,0.4625,0.391
1.197,-0.187,0.3305,0.9170001,0.4585,0.374
1.05175,-0.27125,0.313,0.9062501,0.5035,0.335
0.933,-0.2725,0.406,0.88775,0.529,0.30675
0.83075,-0.25575,0.50725,0.87225,0.54975,0.2885
0.77175,-0.252,0.5535,0.8305001,0.54325,0.3155
0.74525,-0.28325,0.5477501,0.7657501,0.495,0.3405
0.771,-0.2865,0.5745,0.7375,0.4675,0.33175
0.823,-0.2645,0.54475,0.70775,0.43775,0.3385
0.823,-0.2645,0.54475,0.7295001,0.3835,0.33925
0.823,-0.2645,0.54475,0.7837501,0.36225,0.30075
0.8430001,-0.26125,0.526,0.8290001,0.36775,0.2365
0.85675,-0.252,0.50225,0.8245,0.3935,0.154
0.85675,-0.252,0.50225,0.76175,0.382,0.20825
0.8767501,-0.1865,0.462,0.65925,0.34325,0.402
0.85475,-0.13875,0.45575,0.6677501,0.34075,0.46
0.8362501,-0.09325001,0.46625,0.72925,0.33925,0.468
