0,QAQ,21_55_17_2021_02_18,50,200,13
0.86375,-1.443,0.23675,0.5385,-0.4905,-0.4795
0.8882501,-1.17175,0.033,0.59375,-0.316,-0.47175
0.9025,-0.9960001,0.05425,0.567,-0.24475,-0.44375
0.86475,-0.8555,-0.00125,0.71375,-0.052,-0.508
0.8107501,-0.458,-0.1965,0.8132501,0.0175,-0.4245
0.77175,-0.26375,-0.24125,0.827,0.0145,-0.4025
0.6777501,-0.09675001,-0.2695,0.8477501,0.02025,-0.42225
0.41,0.2305,-0.1715,0.9802501,0.02275,-0.5415
0.36075,0.30275,-0.2075,0.9252501,0.0225,-0.6095001
0.32275,0.37225,-0.24425,0.92,0.033,-0.655
0.33525,0.418,-0.39125,0.8972501,-0.00425,-0.694
0.54875,0.67575,-0.575,0.87925,-0.05775,-0.5272501
0.6382501,0.85075,-0.8375,0.8995001,-0.04175,-0.42275
0.70425,1.245,-1.181,0.8790001,-0.005,-0.3855
0.71025,1.24325,-1.17025,0.81925,0.056,-0.49775
0.7065001,1.058,-1.122,0.8667501,0.1345,-0.5295
0.733,0.84725,-1.001,0.8577501,0.124,-0.3775
0.71725,0.6775,-0.83175,0.91675,0.14875,-0.259
0.6900001,0.57875,-0.74375,0.94775,0.08050001,-0.4005
0.7007501,0.4665,-0.7565001,1.03375,0.10675,-0.4645
0.7007501,0.4665,-0.7565001,1.03375,0.10675,-0.4645
0.7007501,0.4665,-0.7565001,1.135,0.1445,-0.501
0.76375,0.321,-0.7315,1.262,0.19925,-0.53525
0.8585001,0.1285,-0.61875,1.35575,0.52625,-0.58325
0.88525,0.079,-0.559,1.37125,0.71025,-0.596
0.8785,0.00825,-0.49175,1.41725,0.9712501,-0.51475
0.8675001,-0.1595,-0.33525,1.404,1.40525,-0.5585001
0.8705,-0.23575,-0.2655,1.2735,1.54475,-0.5
0.887,-0.291,-0.117,1.2735,1.54475,-0.5
0.87525,-0.26675,-0.171,0.8142501,2.13275,-0.2745
0.8945,-0.22625,-0.18675,0.64625,2.42875,-0.10775
0.9450001,-0.33775,-0.21875,0.2345,2.6975,-0.09625001
0.9450001,-0.33775,-0.21875,-0.21975,2.08875,-0.68575
0.97425,-0.434,-0.2455,-0.21375,1.46125,-0.969
1.01625,-0.5385,-0.38025,-0.21375,1.46125,-0.969
1.01775,-0.4655,-0.394,-0.96725,0.09425,-1.05075
1.01775,-0.4655,-0.394,-1.10675,-0.35025,-1.19475
1.012,-0.281,-0.4285,-1.30425,-0.9210001,-1.55125
1.012,-0.281,-0.4285,-1.3725,-1.5725,-2.453
0.9727501,-0.23275,-0.47425,-0.9245,-2.62725,-3.50425
0.9400001,-0.1845,-0.49275,-0.06425,-3.5205,-2.691
0.8855,-0.1025,-0.44575,-0.168,-3.6035,-0.57075
0.841,-0.009000001,-0.40975,-0.27325,-3.3215,0.09500001
0.7787501,0.284,-0.3255,-0.43525,-2.7255,0.291
0.763,0.35425,-0.29125,-0.1485,-1.446,-0.24725
0.7532501,0.42075,-0.252,0.1845,-0.8042501,-0.5025
0.7335001,0.48425,-0.16125,0.4445,-0.281,-0.492
0.8,0.4715,-0.27775,0.54925,-0.048,-0.3555
0.85875,0.44825,-0.3255,0.7912501,-0.1945,-0.46075
0.9827501,0.37875,-0.32825,1.276,-0.26525,-0.4195
1.049,0.32775,-0.347,1.276,-0.26525,-0.4195
