1,Yufei,21_23_23_2021_02_18,50,150,6
0.125,-0.60075,-0.93875,-0.128,-0.5435,-0.86075
0.37,-0.57475,-1.05725,-0.15025,-0.52075,-0.7665001
0.2845,-0.577,-1.03675,-0.1755,-0.49325,-0.7735
0.2965,-0.5175,-1.06625,-0.1605,-0.45,-0.7835
0.32275,-0.3895,-0.983,-0.19175,-0.434,-0.8010001
0.31,-0.3455,-0.9152501,-0.15475,-0.54075,-0.79
0.26025,-0.4255,-0.8907501,-0.192,-0.54725,-0.8025
0.3035,-0.515,-0.8495001,-0.17075,-0.55075,-0.79725
0.31175,-0.44875,-0.87475,-0.20325,-0.54525,-0.7755001
0.26775,-0.448,-0.85175,-0.2165,-0.53275,-0.756
0.27325,-0.483,-0.85625,-0.19625,-0.571,-0.751
0.25025,-0.52875,-0.823,-0.20975,-0.6075,-0.67725
0.24975,-0.55475,-0.8285,-0.22975,-0.6045001,-0.6815
0.2335,-0.5785,-0.8157501,-0.21975,-0.58875,-0.6805
0.22425,-0.58225,-0.7920001,-0.249,-0.567,-0.6892501
0.236,-0.5845,-0.768,-0.249,-0.567,-0.6892501
0.38725,-0.6265,-0.7525001,-0.2735,-0.7492501,-0.73725
0.4155,-0.61825,-0.73825,-0.343,-0.72,-0.81675
0.395,-0.61775,-0.6957501,-0.38475,-0.7355,-0.92975
0.338,-0.589,-0.714,-0.36625,-0.7585,-0.93525
0.3365,-0.58375,-0.74875,-0.328,-0.78,-0.85675
0.331,-0.58275,-0.7600001,-0.3235,-0.7795,-0.78575
0.3065,-0.615,-0.7302501,-0.3235,-0.7795,-0.78575
0.316,-0.646,-0.74075,-0.34625,-0.7145,-0.7155001
0.3185,-0.696,-0.7377501,-0.34625,-0.7145,-0.7155001
0.3535,-0.69225,-0.728,-0.352,-0.68975,-0.6965
0.3815,-0.63175,-0.611,-0.30275,-0.6192501,-0.6265
0.38,-0.651,-0.60675,-0.298,-0.59225,-0.6255
0.37975,-0.71125,-0.6145,-0.356,-0.53775,-0.67575
0.36825,-0.71825,-0.6155,-0.41375,-0.52,-0.6815
0.346,-0.7615001,-0.6305,-0.416,-0.5475,-0.6522501
0.344,-0.7507501,-0.6295,-0.25,-0.72325,-0.693
0.408,-0.76825,-0.77375,-0.24575,-0.73675,-0.69275
0.458,-0.81125,-0.82425,-0.3095,-0.72,-0.74225
0.34575,-0.7665001,-0.8280001,-0.30125,-0.7135,-0.72225
0.2805,-0.7325,-0.8142501,-0.30075,-0.7175,-0.7320001
0.2025,-0.6662501,-0.7895001,-0.348,-0.7295001,-0.775
0.2025,-0.6662501,-0.7895001,-0.3505,-0.678,-0.7582501
0.248,-0.66575,-0.8872501,-0.34225,-0.6635,-0.7415
0.27625,-0.64375,-0.8767501,-0.3235,-0.66275,-0.70525
0.262,-0.643,-0.86325,-0.36125,-0.6195,-0.657
0.22075,-0.634,-0.8525,-0.359,-0.60625,-0.628
0.1775,-0.60675,-0.85625,-0.387,-0.5825,-0.62825
0.146,-0.59,-0.8732501,-0.2995,-0.6715,-0.646
0.138,-0.57975,-0.8975,-0.2995,-0.6715,-0.646
0.14425,-0.58425,-0.923,-0.3385,-0.8832501,-0.8205
0.25925,-0.61425,-0.9447501,-0.3385,-0.8832501,-0.8205
0.17725,-0.56275,-0.9162501,-0.3385,-0.8832501,-0.8205
0.25875,-0.601,-0.95,-0.41275,-0.7245001,-0.84525
0.32625,-0.7130001,-0.98725,-0.41275,-0.7245001,-0.84525
0.56575,-0.511,-1.253,-0.5835,-0.9202501,-0.9525
0.3725,-0.50075,-1.19175,-0.54275,-0.8470001,-0.8555
0.33225,-0.53675,-1.54825,-0.6565,-0.76275,-1.02825
0.31025,-0.44725,-1.58925,-0.63775,-0.678,-0.9305
0.251,-0.26825,-1.537,-0.59475,-0.62125,-0.823
-0.1055,-0.2015,-1.41525,-0.7515,-0.336,-0.841
-0.32425,-0.38825,-1.307,-0.7162501,-0.417,-0.56825
-0.41925,-0.45725,-1.2035,-0.62925,-0.4025,-0.552
