2,Good,19_50_24_2021_02_19,50,300,13
0.68575,0.1745,-0.72575,0.7835,-0.15875,-0.5185
0.9210001,0.16325,-0.60275,0.65725,-0.362,-0.6095001
0.82125,0.01675,-0.45925,0.68475,-0.4185,-0.53075
0.8375,-0.062,-0.42025,0.69675,-0.58575,-0.66575
0.85875,-0.10175,-0.39225,0.85225,-0.28925,-0.16625
1.00125,-0.0705,-0.398,0.79075,-0.28825,-0.07925
1.479,-0.3145,-0.66925,0.36375,-0.67875,-0.55475
1.15025,-0.2205,-0.38125,0.6332501,-1.06525,-1.10125
0.79375,-0.07475001,-0.2695,1.50475,-1.44125,-1.2215
0.78675,-0.10375,-0.2795,0.67575,-0.48275,-0.75675
0.8947501,-0.1945,-0.4475,0.7275,-0.48875,-0.657
1.00025,-0.34575,-0.65925,0.5115,-0.50925,-0.35375
0.9365001,-0.36625,-0.4935,0.6315,-0.456,-0.41675
0.88525,-0.29875,-0.267,0.65725,-0.41075,-0.4615
0.93725,-0.266,-0.143,1.05925,-0.2405,-0.589
1.02975,-0.30325,-0.2115,0.9905,-0.0865,-0.5470001
1.036,-0.2565,-0.18775,0.8585001,-0.01525,-0.4135
0.9735001,-0.18125,-0.16025,0.9652501,0.143,-0.3315
0.9545,-0.1275,-0.1715,1.0025,0.224,-0.42175
0.93125,-0.12075,-0.2435,1.0315,0.295,-0.43325
0.9635,-0.11325,-0.4335,0.9795001,0.23075,-0.21375
0.9522501,-0.17425,-0.47825,0.924,0.187,-0.29875
0.8745,-0.21625,-0.45175,0.8937501,0.17325,-0.34775
0.812,-0.19025,-0.48875,0.9045001,0.20925,-0.42525
0.87225,-0.16375,-0.59975,0.8815001,0.15275,-0.53475
0.8707501,-0.1245,-0.6127501,0.8795,0.08000001,-0.501
0.9037501,-0.1695,-0.622,0.8795,0.08000001,-0.501
0.876,-0.1925,-0.5515,0.8795,0.08000001,-0.501
0.9637501,-0.16525,-0.4455,0.7392501,0.046,-0.71775
0.943,-0.164,-0.36825,0.864,0.066,-0.50775
0.9815,-0.24225,-0.363,0.9432501,-0.05875,-0.60275
0.9670001,-0.251,-0.3785,0.80875,-0.01975,-0.6465001
0.9250001,-0.266,-0.3505,0.748,-0.00875,-0.54475
